,IG Handle,click_count,install_count,conversion_rate
0,fitteacherrachel,345,128,0.3710144927536232
1,ardenmcartrette,154,72,0.4675324675324675
2,carolrojas7,230,58,0.25217391304347825
3,whitsich,100,41,0.41
4,expectinganything,75,26,0.3466666666666667
5,deannadini,80,13,0.1625
6,biffandi,63,11,0.1746031746031746
7,beanandbiscuit,64,9,0.140625
8,trainerkelli,62,8,0.12903225806451613
9,shezzy525,71,7,0.09859154929577464
10,chudneylross,63,6,0.09523809523809523
11,joymarilie,35,5,0.14285714285714285
12,drlaurenpowell,42,4,0.09523809523809523
13,happilysneha,57,4,0.07017543859649122
14,thrivinglittles,28,4,0.14285714285714285
15,ijeomakola,24,3,0.125
16,honestlyj,60,3,0.05
17,carolinaaandes,48,3,0.0625
18,que2theb,61,3,0.04918032786885246
19,susie290783,98,3,0.030612244897959183
20,mrserusso,31,2,0.06451612903225806
21,jayroy23,40,2,0.05
22,samschuerman,6,2,0.3333333333333333
23,popcorngrowth,25,2,0.08
24,4fsgiven,77,2,0.025974025974025976
25,xplosivefitlife,9,1,0.1111111111111111
26,daniladavidson,22,1,0.045454545454545456
27,raisinglittlelopez,9,1,0.1111111111111111
28,superada10,42,1,0.023809523809523808
29,onceupondisneymom,37,1,0.02702702702702703
30,alygrice,2,1,0.5
31,thecurlyqmom,25,1,0.04
32,thejacksontwins,31,1,0.03225806451612903
33,jacmeth,18,1,0.05555555555555555
34,fearlesslyoma,20,1,0.05
35,fortheloveofmila,42,1,0.023809523809523808
36,aliannludwig,33,1,0.030303030303030304
37,dralisonmitzner,26,1,0.038461538461538464
38,almosttripletsnyc,11,0,0.0
39,anaturalmindedmama,6,0,0.0
40,ashlylocklin,20,0,0.0
41,sabrinatewksbury,4,0,0.0
42,rosiemaxhimer,8,0,0.0
43,rokketqueen66,12,0,0.0
44,sondrarae,3,0,0.0
45,rheamendezona,3,0,0.0
46,relishbyarielle,12,0,0.0
47,wisdomandwipes,46,0,0.0
48,blessedwithtwins,14,0,0.0
49,brianabujutattoo,7,0,0.0
50,pelosdeeloteee,5,0,0.0
51,someassemblyrequired,17,0,0.0
52,stacenyoface,19,0,0.0
53,speechsisters,2,0,0.0
54,thewarrenhaus,11,0,0.0
55,stephennataliestyle,9,0,0.0
56,stringfields,8,0,0.0
57,superada10 ,1,0,0.0
58,sweetmommalife,5,0,0.0
59,thebellemethod,11,0,0.0
60,trapptwins,17,0,0.0
61,aliciasacramonequinn,6,0,0.0
62,thejenningsgirls,10,0,0.0
63,themattiejames,8,0,0.0
64,therealmommychronicles,25,0,0.0
65,ongmoni,3,0,0.0
66,drkiarraking,6,0,0.0
67,onceupondisneymo,3,0,0.0
68,ohappymama,6,0,0.0
69,jaycina,10,0,0.0
70,ivethchavez,22,0,0.0
71,indiashauntae,18,0,0.0
72,iluvterricka,8,0,0.0
73,brynnnora,11,0,0.0
74,caitlinkruse,4,0,0.0
75,hoangviton,12,0,0.0
76,hellolittlethree,13,0,0.0
77,growingupwithdads,10,0,0.0
78,gigikov,26,0,0.0
79,fourthtrimestercollective,11,0,0.0
80,delalhi,13,0,0.0
81,firstname,18,0,0.0
82,emandkinz,6,0,0.0
83,elliengarza,21,0,0.0
84,brooklynlsmith,2,0,0.0
85,jessicagalvan,6,0,0.0
86,john,2,0,0.0
87,lovinglittlehalls,20,0,0.0
88,drunkknitter,35,0,0.0
89,mrbecker,8,0,0.0
90,mommymornings,13,0,0.0
91,melamurder,12,0,0.0
92,mammabearsays,14,0,0.0
93,mamashocks,9,0,0.0
94,livlunamasha,10,0,0.0
95,joyfullygreen,15,0,0.0
96,lifewithmrst,8,0,0.0
97,lenkaagrace,10,0,0.0
98,krisbmills,12,0,0.0
99,kimheishman,6,0,0.0
100,kalliebranciforte,29,0,0.0
101,Not Available,30,0,0.0
102,brittfusilier,5,0,0.0
